# dx,dy,w,h  (bgColor at runtime)
-850,-700,500,400
-900,-300,100,400
-700,750,750,250
-450,-1000,500,300
50,-1000,200,250
50,650,500,450
550,650,150,450
500,-50,600,700
600,-750,1400,1050
-1150,-50,250,900
-1150,850,200,550
-950,800,50,400
-850,750,150,100
-1350,-400,450,600
-900,-400,50,50
-900,800,150,200
500,-900,50,50
700,-800,50,50
500,-900,250,150
-2350,-1150,1900,700
-900,1000,150,400
-2350,1000,1450,450
-2350,-450,1000,1350
-1350,-450,450,50
-1350,200,200,700
-2350,900,1350,100
50,1100,1900,350
700,650,1250,450
1100,250,850,400
1200,150,750,100
1300,100,650,50
1350,-50,600,150
1300,-250,650,150
1350,-100,600,50
1050,-1150,900,800
-750,1100,1550,450
-450,-1150,900,150
450,-1150,600,150
900,-750,150,250
1300,-350,650,100
-700,1000,700,100
450,-1000,600,100
750,-900,300,200
300,-1000,150,250
-1000,1100,200,200
800,1350,200,100
