# dx,dy
-300,750
-300,700
-300,650
0,650
-50,650
-400,500
-350,500
-300,250
-300,300
-1000,100
-700,-400
-700,-350
-1000,-600
-450,-550
-400,-800
-400,-750
-400,-700
-100,-800
-100,-750
-50,-400
-50,-350
150,-300
200,-300
600,-450
650,-450
450,-50
450,0
500,0
1050,-150
1000,-150
950,-150
900,-150
850,-150
1100,-200
600,-700
1050,-650
1150,-650
1150,-550
1250,-550
1700,-600
1850,-1050
1000,-950
-50,1300
-50,1400
-500,-50
-450,-50
-400,-50
-350,-50
-350,0
-650,-900
-650,-950
-750,-50
-800,-50
-150,1150
-150,1200
-150,1250
-200,1250
-200,1300
-200,1350
-50,1350
-50,1450
0,1450
0,1500
-200,600
-150,600
50,650
-300,600
-250,600
-450,450
-500,450
-450,500
-300,500
-250,500
-250,550
-200,550
-250,200
-250,150
-150,250
-200,250
-550,-200
-500,-200
-450,-200
-400,0
-350,50
-300,50
-300,0
-250,50
-850,-50
-900,-200
-900,-50
-700,-50
-700,-200
-650,-200
-1050,200
-2000,50
-950,200
-2000,150
-950,150
-650,-450
-700,-450
-650,-500
-650,-400
-700,-300
-750,-300
-2000,-550
-1050,-550
-1050,-500
-1050,-450
-1200,-450
-400,-550
-350,-600
-350,-550
-300,-600
-250,-600
-300,-550
-350,-800
-350,-850
-350,-750
-650,-2000
-700,-2000
-700,-950
-750,-950
-700,-850
-650,-850
-700,-900
-200,-700
-150,-700
-150,-750
-150,-800
-450,-500
-50,-450
-200,-400
-200,-350
-50,-300
0,-250
50,-200
50,-250
200,-250
200,-200
150,-250
200,-350
400,-200
400,-50
350,-200
500,50
550,50
550,-500
500,-500
550,-450
600,-500
700,-450
700,-400
750,-400
800,-400
800,-450
850,-450
850,-400
800,-150
800,-200
850,-200
900,-200
950,-200
750,-200
750,-50
700,-50
650,-50
1150,-150
1150,-200
1150,-250
1200,-250
1150,-300
1200,-300
1250,-250
1300,-250
550,-700
500,-700
500,-650
450,-650
450,-600
650,-700
700,-700
700,-750
750,-750
800,-750
800,-700
850,-700
850,-650
850,-600
900,-600
900,-650
950,-650
950,-700
-250,250
1050,-700
1200,-650
1150,-700
1200,-700
1250,-700
1300,-700
1300,-750
1350,-750
1400,-750
1400,-800
1350,-800
1450,-800
1200,-550
1050,-500
1200,-500
1200,-550
1300,-550
1300,-500
1350,-500
1350,-450
1350,-400
1700,-650
1650,-650
1750,-600
1800,-600
1800,-550
1850,-1200
1800,-1200
1850,-2000
1850,-950
1800,-950
1750,-950
1750,-900
