# dx,dy,w,h
-1000,-50,50,50
-1100,0,50,50
-1100,50,50,50
-1100,100,50,50
-1300,50,50,50
-1300,100,50,50
350,200,50,50
400,200,50,50
400,250,50,50
400,300,50,50
350,300,50,50
300,300,50,50
300,250,50,50
100,-600,50,50
-800,-400,50,50
-400,-500,50,50
0,-600,50,50
550,650,50,50
0,750,50,50
-2100,-450,50,50
-2200,-300,50,50
-1650,-400,50,50
-1600,-400,50,50
-1550,-400,50,50
-1500,-400,50,50
-1450,-400,50,50
-1400,-400,50,50
-2050,350,50,50
-2050,400,50,50
-1700,450,50,50
-1450,300,50,50
-1350,200,50,50
-1350,250,50,50
-1300,0,50,50
