# section,x,y,w,h,color
mapp,333,63,9,9,Color.WHITE
mapp,0,0,9,9,Color.WHITE
mapp,783,0,9,9,Color.WHITE
mapp,0,477,9,9,Color.WHITE
mapp,783,477,9,9,Color.WHITE
mapp,504,405,9,9,Color.WHITE
mapp,657,162,9,9,Color.WHITE
mapp,648,162,9,9,Color.WHITE
mapp,639,162,9,9,Color.WHITE
mapp,9,0,774,9,Color.WHITE
mapp,0,9,9,468,Color.WHITE
mapp,9,477,774,9,Color.WHITE
mapp,783,9,9,468,Color.WHITE
mapp,18,9,9,9,Color.WHITE
mapp,18,18,9,9,Color.WHITE
mapp,18,27,9,9,Color.WHITE
mapp,18,36,9,9,Color.WHITE
mapp,36,18,9,9,Color.WHITE
mapp,36,27,9,9,Color.WHITE
mapp,36,36,9,9,Color.WHITE
mapp,36,45,9,9,Color.WHITE
mapp,9,54,9,9,Color.WHITE
mapp,27,54,9,9,Color.WHITE
mapp,18,54,9,9,Color.WHITE
mapp,36,54,9,9,Color.WHITE
mapp,54,27,9,9,Color.WHITE
mapp,63,27,9,9,Color.WHITE
mapp,72,27,9,9,Color.WHITE
mapp,72,18,9,9,Color.WHITE
mapp,72,9,9,9,Color.WHITE
mapp,90,18,9,9,Color.WHITE
mapp,90,27,9,9,Color.WHITE
mapp,90,36,9,9,Color.WHITE
mapp,90,45,9,9,Color.WHITE
mapp,81,45,9,9,Color.WHITE
mapp,72,45,9,9,Color.WHITE
mapp,72,54,9,9,Color.WHITE
mapp,63,54,9,9,Color.WHITE
mapp,54,54,9,9,Color.WHITE
mapp,45,54,9,9,Color.WHITE
mapp,18,72,9,9,Color.WHITE
mapp,27,72,9,9,Color.WHITE
mapp,36,72,9,9,Color.WHITE
mapp,45,72,9,9,Color.WHITE
mapp,54,72,9,9,Color.WHITE
mapp,63,72,9,9,Color.WHITE
mapp,72,72,9,9,Color.WHITE
mapp,81,72,9,9,Color.WHITE
mapp,90,72,9,9,Color.WHITE
mapp,90,63,9,9,Color.WHITE
mapp,99,63,9,9,Color.WHITE
mapp,108,63,9,9,Color.WHITE
mapp,108,54,9,9,Color.WHITE
mapp,108,45,9,9,Color.WHITE
mapp,108,36,9,9,Color.WHITE
mapp,108,27,9,9,Color.WHITE
mapp,108,18,9,9,Color.WHITE
mapp,108,9,9,9,Color.WHITE
mapp,126,9,9,9,Color.WHITE
mapp,126,18,9,9,Color.WHITE
mapp,126,27,9,9,Color.WHITE
mapp,126,36,9,9,Color.WHITE
mapp,126,45,9,9,Color.WHITE
mapp,126,54,9,9,Color.WHITE
mapp,126,63,9,9,Color.WHITE
mapp,126,81,9,9,Color.WHITE
mapp,117,81,9,9,Color.WHITE
mapp,108,81,9,9,Color.WHITE
mapp,108,90,9,9,Color.WHITE
mapp,99,90,9,9,Color.WHITE
mapp,90,90,9,9,Color.WHITE
mapp,81,90,9,9,Color.WHITE
mapp,72,90,9,9,Color.WHITE
mapp,63,90,9,9,Color.WHITE
mapp,54,90,9,9,Color.WHITE
mapp,45,90,9,9,Color.WHITE
mapp,36,90,9,9,Color.WHITE
mapp,27,90,9,9,Color.WHITE
mapp,18,90,9,9,Color.WHITE
mapp,9,90,9,9,Color.WHITE
mapp,135,18,9,9,Color.WHITE
mapp,135,27,9,9,Color.WHITE
mapp,144,27,9,9,Color.WHITE
mapp,144,36,9,9,Color.WHITE
mapp,153,36,9,9,Color.WHITE
mapp,171,36,9,9,Color.WHITE
mapp,180,36,9,9,Color.WHITE
mapp,180,27,9,9,Color.WHITE
mapp,189,27,9,9,Color.WHITE
mapp,189,18,9,9,Color.WHITE
mapp,198,18,9,9,Color.WHITE
mapp,198,9,9,9,Color.WHITE
mapp,135,81,9,9,Color.WHITE
mapp,144,81,9,9,Color.WHITE
mapp,144,72,9,9,Color.WHITE
mapp,153,72,9,9,Color.WHITE
mapp,153,63,9,9,Color.WHITE
mapp,171,63,9,9,Color.WHITE
mapp,171,72,9,9,Color.WHITE
mapp,180,72,9,9,Color.WHITE
mapp,180,81,9,9,Color.WHITE
mapp,189,81,9,9,Color.WHITE
mapp,18,108,9,9,Color.WHITE
mapp,18,117,9,9,Color.WHITE
mapp,18,126,9,9,Color.WHITE
mapp,18,135,9,9,Color.WHITE
mapp,18,144,9,9,Color.WHITE
mapp,18,153,9,9,Color.WHITE
mapp,27,153,9,9,Color.WHITE
mapp,36,153,9,9,Color.WHITE
mapp,36,144,9,9,Color.WHITE
mapp,36,135,9,9,Color.WHITE
mapp,45,144,9,9,Color.WHITE
mapp,54,144,9,9,Color.WHITE
mapp,36,126,9,9,Color.WHITE
mapp,54,126,9,9,Color.WHITE
mapp,54,117,9,9,Color.WHITE
mapp,54,108,9,9,Color.WHITE
mapp,45,108,9,9,Color.WHITE
mapp,36,108,9,9,Color.WHITE
mapp,27,108,9,9,Color.WHITE
mapp,63,108,9,9,Color.WHITE
mapp,72,108,9,9,Color.WHITE
mapp,81,108,9,9,Color.WHITE
mapp,90,108,9,9,Color.WHITE
mapp,90,117,9,9,Color.WHITE
mapp,90,126,9,9,Color.WHITE
mapp,99,126,9,9,Color.WHITE
mapp,99,108,9,9,Color.WHITE
mapp,108,108,9,9,Color.WHITE
mapp,117,108,9,9,Color.WHITE
mapp,126,108,9,9,Color.WHITE
mapp,126,126,9,9,Color.WHITE
mapp,126,117,9,9,Color.WHITE
mapp,126,135,9,9,Color.WHITE
mapp,117,126,9,9,Color.WHITE
mapp,126,144,9,9,Color.WHITE
mapp,117,144,9,9,Color.WHITE
mapp,108,144,9,9,Color.WHITE
mapp,99,144,9,9,Color.WHITE
mapp,90,144,9,9,Color.WHITE
mapp,72,126,9,9,Color.WHITE
mapp,72,144,9,9,Color.WHITE
mapp,72,135,9,9,Color.WHITE
mapp,72,153,9,9,Color.WHITE
mapp,72,162,9,9,Color.WHITE
mapp,63,162,9,9,Color.WHITE
mapp,54,162,9,9,Color.WHITE
mapp,72,171,9,9,Color.WHITE
mapp,72,180,9,9,Color.WHITE
mapp,72,189,9,9,Color.WHITE
mapp,54,180,9,9,Color.WHITE
mapp,45,180,9,9,Color.WHITE
mapp,36,180,9,9,Color.WHITE
mapp,36,171,9,9,Color.WHITE
mapp,36,189,9,9,Color.WHITE
mapp,36,198,9,9,Color.WHITE
mapp,18,162,9,9,Color.WHITE
mapp,18,171,9,9,Color.WHITE
mapp,18,180,9,9,Color.WHITE
mapp,18,189,9,9,Color.WHITE
mapp,18,198,9,9,Color.WHITE
mapp,18,207,9,9,Color.WHITE
mapp,27,207,9,9,Color.WHITE
mapp,36,207,9,9,Color.WHITE
mapp,45,207,9,9,Color.WHITE
mapp,54,207,9,9,Color.WHITE
mapp,54,198,9,9,Color.WHITE
mapp,63,207,9,9,Color.WHITE
mapp,72,207,9,9,Color.WHITE
mapp,90,162,9,9,Color.WHITE
mapp,90,171,9,9,Color.WHITE
mapp,108,162,9,9,Color.WHITE
mapp,117,162,9,9,Color.WHITE
mapp,135,162,9,9,Color.WHITE
mapp,144,162,9,9,Color.WHITE
mapp,162,162,9,9,Color.WHITE
mapp,171,162,9,9,Color.WHITE
mapp,171,180,9,9,Color.WHITE
mapp,171,189,9,9,Color.WHITE
mapp,171,207,9,9,Color.WHITE
mapp,171,216,9,9,Color.WHITE
mapp,108,180,9,9,Color.WHITE
mapp,126,180,9,9,Color.WHITE
mapp,135,180,9,9,Color.WHITE
mapp,153,180,9,9,Color.WHITE
mapp,153,189,9,9,Color.WHITE
mapp,90,189,9,9,Color.WHITE
mapp,90,198,9,9,Color.WHITE
mapp,108,198,9,9,Color.WHITE
mapp,108,207,9,9,Color.WHITE
mapp,90,225,9,9,Color.WHITE
mapp,90,216,9,9,Color.WHITE
mapp,108,225,9,9,Color.WHITE
mapp,108,234,9,9,Color.WHITE
mapp,126,198,9,9,Color.WHITE
mapp,126,207,9,9,Color.WHITE
mapp,135,216,9,9,Color.WHITE
mapp,135,225,9,9,Color.WHITE
mapp,135,243,9,9,Color.WHITE
mapp,126,243,9,9,Color.WHITE
mapp,90,243,9,9,Color.WHITE
mapp,90,252,9,9,Color.WHITE
mapp,90,270,9,9,Color.WHITE
mapp,90,279,9,9,Color.WHITE
mapp,108,279,9,9,Color.WHITE
mapp,117,279,9,9,Color.WHITE
mapp,108,261,9,9,Color.WHITE
mapp,117,261,9,9,Color.WHITE
mapp,153,243,9,9,Color.WHITE
mapp,153,234,9,9,Color.WHITE
mapp,153,216,9,9,Color.WHITE
mapp,153,207,9,9,Color.WHITE
mapp,171,234,9,9,Color.WHITE
mapp,171,243,9,9,Color.WHITE
mapp,72,216,9,9,Color.WHITE
mapp,72,225,9,9,Color.WHITE
mapp,72,234,9,9,Color.WHITE
mapp,72,243,9,9,Color.WHITE
mapp,72,252,9,9,Color.WHITE
