# dx,dy,w,h,color_idx (0=WHITE 1=DARK_GRAY)
1000,1350,50,50,0
-1500,-1000,50,50,0
100,50,50,50,0
150,50,50,50,0
200,50,50,50,0
250,50,50,50,0
250,100,50,50,0
250,150,50,50,0
200,150,50,50,0
150,150,50,50,0
150,200,50,50,0
150,250,50,50,0
150,300,50,50,0
100,300,50,50,0
50,300,50,50,0
50,250,50,50,0
50,150,50,50,0
0,150,50,50,0
0,100,50,50,0
0,50,50,50,0
0,250,50,50,0
-150,-50,50,50,0
-200,-50,50,50,0
-250,-50,50,50,0
-250,0,50,50,0
-250,50,50,50,0
-300,50,50,50,0
-350,50,50,50,0
-350,100,50,50,0
-350,150,50,50,0
-350,200,50,50,0
-300,200,50,50,0
-250,200,50,50,0
-250,150,50,50,0
-150,50,50,50,0
-150,100,50,50,0
-150,150,50,50,0
-300,350,50,50,0
-300,400,50,50,0
-300,450,50,50,0
-300,500,50,50,0
-300,550,50,50,0
-300,600,50,50,0
-250,600,50,50,0
-200,600,50,50,0
-150,600,50,50,0
-100,600,50,50,0
-50,600,50,50,0
-50,550,50,50,0
-50,500,50,50,0
-50,450,50,50,0
-100,450,50,50,0
-150,450,50,50,0
-150,500,50,50,0
-250,500,50,50,0
-250,350,50,50,0
-200,350,50,50,0
-150,350,50,50,0
-250,450,50,50,0
100,-100,50,50,0
100,-150,50,50,0
100,-200,50,50,0
100,-250,50,50,0
100,-300,50,50,0
50,-300,50,50,0
0,-300,50,50,0
-50,-300,50,50,0
-50,-250,50,50,0
-50,-200,50,50,0
0,-200,50,50,0
50,-100,50,50,0
0,-100,50,50,0
-50,-100,50,50,0
300,-300,50,50,0
350,-300,50,50,0
400,-300,50,50,0
450,-250,50,50,0
450,-200,50,50,0
450,-150,50,50,0
450,-100,50,50,0
400,-100,50,50,0
350,-100,50,50,0
350,-150,50,50,0
300,-150,50,50,0
300,-200,50,50,0
400,-250,50,50,0
250,-200,50,50,0
250,-300,50,50,0
-550,200,50,50,0
-550,150,50,50,0
-550,100,50,50,0
-600,100,50,50,0
-650,100,50,50,0
-700,100,50,50,0
-750,100,50,50,0
-800,100,50,50,0
-850,100,50,50,0
-900,100,50,50,0
-900,150,50,50,0
-900,200,50,50,0
-900,250,50,50,0
-900,300,50,50,0
-900,350,50,50,0
-900,400,50,50,0
-900,450,50,50,0
-900,500,50,50,0
-900,550,50,50,0
-900,600,50,50,0
-900,650,50,50,0
-800,650,50,50,0
-750,650,50,50,0
-700,650,50,50,0
-650,650,50,50,0
-600,650,50,50,0
-550,650,50,50,0
-550,550,50,50,0
-550,500,50,50,0
-550,450,50,50,0
-550,400,50,50,0
-550,250,50,50,0
-550,300,50,50,0
-700,150,50,50,0
-700,200,50,50,0
-700,250,50,50,0
-700,300,50,50,0
-650,300,50,50,0
-600,400,50,50,0
-650,400,50,50,0
-700,400,50,50,0
-750,400,50,50,0
-750,450,50,50,0
-750,500,50,50,0
-750,550,50,50,0
-650,600,50,50,0
-650,550,50,50,0
-650,500,50,50,0
-800,500,50,50,0
-850,400,50,50,0
-800,200,50,50,0
-800,250,50,50,0
-800,300,50,50,0
-550,-50,50,50,0
-600,-50,50,50,0
-650,-50,50,50,0
-700,-50,50,50,0
-700,-100,50,50,0
-700,-150,50,50,0
-700,-200,50,50,0
-700,-250,50,50,0
-700,-300,50,50,0
-650,-300,50,50,0
-600,-300,50,50,0
-550,-300,50,50,0
-500,-300,50,50,0
-450,-300,50,50,0
-400,-300,50,50,0
-350,-300,50,50,0
-300,-300,50,50,0
-300,-250,50,50,0
-300,-200,50,50,0
-400,-200,50,50,0
-450,-200,50,50,0
-500,-200,50,50,0
-550,-200,50,50,0
-600,-200,50,50,0
-600,-150,50,50,0
350,-350,50,50,0
350,-400,50,50,0
350,-500,50,50,0
350,-550,50,50,0
300,-600,50,50,0
250,-600,50,50,0
200,-600,50,50,0
150,-600,50,50,0
50,-600,50,50,0
50,-650,50,50,0
50,-700,50,50,0
50,-750,50,50,0
100,-750,50,50,0
150,-750,50,50,0
200,-750,50,50,0
250,-750,50,50,0
300,-750,50,50,0
350,-750,50,50,0
400,-750,50,50,0
450,-750,50,50,0
500,-750,50,50,0
550,-750,50,50,0
550,-700,50,50,0
550,-650,50,50,0
550,-600,50,50,0
550,-550,50,50,0
550,-500,50,50,0
550,-450,50,50,0
500,-450,50,50,0
450,-450,50,50,0
450,-500,50,50,0
450,-550,50,50,0
450,-600,50,50,0
400,-600,50,50,0
350,-600,50,50,0
150,-700,50,50,0
300,-650,50,50,0
450,-700,50,50,0
-50,-700,50,50,0
-100,-700,50,50,0
-150,-700,50,50,0
-50,-650,50,50,0
-50,-600,50,50,0
-50,-550,50,50,0
-50,-500,50,50,0
-150,-500,50,50,0
-150,-550,50,50,0
-150,-600,50,50,0
-200,-700,50,50,0
-250,-700,50,50,0
-300,-700,50,50,0
-350,-700,50,50,0
-350,-650,50,50,0
-350,-600,50,50,0
-350,-550,50,50,0
-350,-500,50,50,0
-300,-500,50,50,0
-250,-500,50,50,0
-200,-500,50,50,0
-250,-600,50,50,0
-50,-450,50,50,0
100,550,50,50,0
100,500,50,50,0
100,450,50,50,0
100,400,50,50,0
150,400,50,50,0
250,400,50,50,0
200,400,50,50,0
300,400,50,50,0
350,400,50,50,0
400,400,50,50,0
400,450,50,50,0
400,500,50,50,0
400,550,50,50,0
300,550,50,50,0
300,500,50,50,0
150,550,50,50,0
200,550,50,50,0
250,550,50,50,0
550,0,50,50,0
600,0,50,50,0
650,0,50,50,0
650,-50,50,50,0
650,-100,50,50,0
700,-100,50,50,0
700,-150,50,50,0
750,-150,50,50,0
800,-150,50,50,0
800,-100,50,50,0
800,-50,50,50,0
800,0,50,50,0
750,0,50,50,0
750,50,50,50,0
750,100,50,50,0
700,100,50,50,0
650,100,50,50,0
600,100,50,50,0
550,100,50,50,0
700,-300,50,50,0
700,-350,50,50,0
700,-450,50,50,0
700,-500,50,50,0
750,-500,50,50,0
800,-500,50,50,0
850,-500,50,50,0
850,-450,50,50,0
850,-400,50,50,0
850,-350,50,50,0
800,-350,50,50,0
800,-300,50,50,0
750,-300,50,50,0
500,-800,50,50,0
500,-850,50,50,0
500,-900,50,50,0
550,-900,50,50,0
600,-900,50,50,0
650,-900,50,50,0
700,-900,50,50,0
700,-850,50,50,0
700,-800,50,50,0
700,-750,50,50,0
700,-700,50,50,0
750,-700,50,50,0
800,-700,50,50,0
850,-700,50,50,0
900,-700,50,50,0
950,-700,50,50,0
1000,-700,50,50,0
1000,-750,50,50,0
1000,-800,50,50,0
1000,-900,50,50,0
950,-900,50,50,0
900,-900,50,50,0
900,-800,50,50,0
850,-800,50,50,0
800,-800,50,50,0
850,-900,50,50,0
800,-900,50,50,0
750,-800,50,50,0
650,-700,50,50,0
850,-500,50,50,0
1000,-500,50,50,0
1000,-450,50,50,0
1000,-400,50,50,0
1000,-350,50,50,0
1050,-350,50,50,0
1100,-350,50,50,0
1100,-400,50,50,0
1150,-400,50,50,0
1150,-450,50,50,0
1200,-450,50,50,0
1200,-500,50,50,0
1200,-550,50,50,0
1100,-550,50,50,0
1050,-550,50,50,0
1000,-550,50,50,0
1100,-300,50,50,0
1150,-300,50,50,0
1200,-300,50,50,0
1250,-300,50,50,0
1300,-300,50,50,0
1300,-350,50,50,0
1300,-400,50,50,0
1300,-450,50,50,0
1300,-500,50,50,0
1300,-550,50,50,0
1100,-150,50,50,0
1150,-150,50,50,0
1200,-150,50,50,0
1250,-150,50,50,0
1250,-100,50,50,0
1300,-100,50,50,0
1300,-50,50,50,0
1300,0,50,50,0
1300,50,50,50,0
1250,50,50,50,0
1250,100,50,50,0
1200,100,50,50,0
1150,100,50,50,0
1100,100,50,50,0
1250,-200,50,50,0
1100,-250,50,50,0
-850,-50,50,50,0
-850,-100,50,50,0
-850,-150,50,50,0
-850,-200,50,50,0
-850,-250,50,50,0
-850,-300,50,50,0
-850,-350,50,50,0
-850,-400,50,50,0
-900,-400,50,50,0
-1000,-400,50,50,0
-950,-400,50,50,0
-1050,-400,50,50,0
